"Sample","JobID","Key","PopID"
"SF1927","J5272","TRT01","01-1"
"SF1928","J5272","TRT02","01-2"
"SF1929","J5272","TRT03","01-3"
"SF1930","J5272","TRT04","01-4"
"SF1931","J5272","TRT05","01-5"
"SF1932","J5272","CON01","01-6"
"SF1933","J5272","TRT06","02-1"
"SF1934","J5272","TRT07","02-2"
"SF1935","J5272","TRT08","02-3"
"SF1936","J5272","TRT09","02-4"
"SF1937","J5272","TRT10","02-5"
"SF1938","J5272","CON02","02-6"
"SF1939","J5272","TRT11","03-1"
"SF1940","J5272","TRT12","03-2"
"SF1941","J5272","TRT13","03-3"
"SF1942","J5272","TRT14","03-4"
"SF1943","J5272","TRT15","03-5"
"SF1944","J5272","CON03","03-6"
"SF1945","J5272","TRT16","04-1"
"SF1946","J5272","TRT17","04-2"
"SF1947","J5272","TRT18","04-3"
"SF1948","J5272","TRT19","04-4"
"SF1949","J5272","TRT20","04-5"
"SF1950","J5272","CON04","04-6"
"SF1951","J5272","TRT21","05-1"
"SF1952","J5272","TRT22","05-2"
"SF1953","J5272","TRT23","05-3"
"SF1954","J5272","TRT24","05-4"
"SF1955","J5272","TRT25","05-5"
"SF1956","J5272","CON05","05-6"
"SF1957","J5272","TRT26","06-1"
"SF1958","J5272","TRT27","06-2"
"SF1959","J5272","TRT28","06-3"
"SF1960","J5272","TRT29","06-4"
"SF1961","J5272","TRT30","06-5"
"SF1962","J5272","CON06","06-6"
"SF1963","J5272","TRT31","07-1"
"SF1964","J5272","TRT32","07-2"
"SF1965","J5272","TRT33","07-3"
"SF1966","J5272","TRT34","07-4"
"SF1967","J5272","TRT35","07-5"
"SF1968","J5272","CON07","07-6"
"SF1969","J5272","TRT36","08-1"
"SF1970","J5272","TRT37","08-2"
"SF1971","J5272","TRT38","08-3"
"SF1972","J5272","TRT39","08-4"
"SF1973","J5272","TRT40","08-5"
"SF1974","J5272","CON08","08-6"
"SF1975","J5272","INIT1","INIT1"
"SF1976","J5272","INIT2","INIT2"
